scheme_code,isin_growth,is_reinvest,scheme_name,nav,nav_data,nav_date
119551,INF209KA12Z1,INF209KA13Z9,Aditya Birla Sun Life Banking & PSU Debt Fund Direct Plan IDCW-Re-investment,106.8821,21-Aug-2026,2026-08-21
119552,INF209K01YM2,-,Aditya Birla Sun Life Banking & PSU Debt Fund Direct Plan MONTHLY DCW Payout,117.1807,21-Aug-2026,2026-08-21
119553,INF209K01YO8,-,Aditya Birla Sun Life Banking & PSU Debt Fund Direct Plan QUARTERLY IDCW Payout,104.9144,21-Aug-2026,2026-08-21
108272,INF209K01LX6,INF209KA11Z3,Aditya Birla Sun Life Banking & PSU Debt Fund Regular Plan IDCW-Re-investment,149.5533,21-Aug-2026,2026-08-21
110282,INF209K01LU2,-,Aditya Birla Sun Life Banking & PSU Debt Fund Regular Plan MONTHLY IDCW Payout,112.4288,21-Aug-2026,2026-08-21
108274,INF209K01LN7,-,Aditya Birla Sun Life Banking & PSU Debt Fund Regular Plan QUARTERLY IDCW Payout,102.466,21-Aug-2026,2026-08-21
108273,INF209K01LV0,-,Aditya Birla Sun Life Banking & PSU Debt Fund Regular Plan GROWTH,387.4258,21-Aug-2026,2026-08-21
119550,INF209K01YN0,-,Aditya Birla Sun Life Banking & PSU Debt Fund Direct Plan GROWTH,403.6492,21-Aug-2026,2026-08-21
128952,INF846K01NF8,-,Axis Banking & PSU Debt Fund Direct Plan Bonus Option,1532.8272,14-Jun-2017,2017-06-14
120437,-,INF846K01CU0,Axis Banking & PSU Debt Fund Direct Plan Daily IDCW,1035.1701,21-Aug-2026,2026-08-21
120438,INF846K01CR6,-,Axis Banking & PSU Debt Fund Direct Plan Growth Option,2890.544,21-Aug-2026,2026-08-21
120439,INF846K01CT2,INF846K01CS4,Axis Banking & PSU Debt Fund Direct Plan Monthly IDCW,1033.0862,21-Aug-2026,2026-08-21
120436,INF846K01CV8,INF846K01CW6,Axis Banking & PSU Debt Fund Direct Plan Weekly IDCW,1034.7458,21-Aug-2026,2026-08-21
128953,INF846K01NG6,-,Axis Banking & PSU Debt Fund Regular Plan Bonus Option,1289.4075,18-May-2015,2015-05-18
117447,-,INF846K01CC8,Axis Banking & PSU Debt Fund Regular Plan Daily IDCW,1035.1128,21-Aug-2026,2026-08-21
117446,INF846K01CB0,-,Axis Banking & PSU Debt Fund Regular Plan Growth option,2794.1509,21-Aug-2026,2026-08-21
117449,INF846K01CF1,INF846K01CG9,Axis Banking & PSU Debt Fund Regular Plan Monthly IDCW,1032.8768,21-Aug-2026,2026-08-21
117448,INF846K01CD6,INF846K01CE4,Axis Banking & PSU Debt Fund Regular Plan Weekly IDCW,1034.7112,21-Aug-2026,2026-08-21
152164,INF0QA701649,INF0QA701631,Bajaj Finserv Banking and PSU Fund Direct Plan Monthly IDCW,10.9419,21-Aug-2026,2026-08-21
152163,INF0QA701615,INF0QA701623,Bajaj Finserv Banking and PSU Fund Direct Plan IDCW,12.2017,21-Aug-2026,2026-08-21
152165,INF0QA701557,-,Bajaj Finserv Banking and PSU Fund Regular Plan Growth,12.0173,21-Aug-2026,2026-08-21
152166,INF0QA701565,INF0QA701573,Bajaj Finserv Banking and PSU Fund Regular Plan IDCW,12.0173,21-Aug-2026,2026-08-21
152162,INF0QA701607,-,Bajaj Finserv Banking and PSU Fund Direct Plan Growth,12.2017,21-Aug-2026,2026-08-21
152167,INF0QA701599,INF0QA701581,Bajaj Finserv Banking and PSU Fund Regular Plan Monthly IDCW,10.873,21-Aug-2026,2026-08-21
121936,INF194K019M8,-,Bandhan Banking and PSU Fund Direct Plan Annual IDCW,12.3881,21-Aug-2026,2026-08-21
