scheme_code,isin_growth,isin_reinvest,scheme_name,nav,nav_date,fund_house
135762,INF846K01WO1,-,Axis Children's Fund Direct Plan Growth Option,30.5341,2026-08-28,Axis Mutual Fund
135765,INF846K01WP8,-,Axis Children's Fund Direct Plan IDCW Option,28.1274,2026-08-28,Axis Mutual Fund
135759,INF846K01WJ1,-,Axis Children's Fund Regular Plan Growth Option,26.6029,2026-08-28,Axis Mutual Fund
135760,INF846K01WK9,-,Axis Children's Fund Regular Plan IDCW Option,24.5433,2026-08-28,Axis Mutual Fund
135764,INF846K01WR4,-,Axis Children's Fund Direct Plan Growth Option,31.118,2026-08-28,Axis Mutual Fund
135763,INF846K01WS2,INF846K01WQ6,Axis Children's Fund Direct Plan IDCW Option,28.1806,2026-08-28,Axis Mutual Fund
135766,INF846K01WM5,-,Axis Children's Fund Regular Plan Growth Option,26.5996,2026-08-28,Axis Mutual Fund
135761,INF846K01WN3,INF846K01WL7,Axis Children's Fund Regular Plan IDCW Option,24.5211,2026-08-28,Axis Mutual Fund
119551,INF209KA12Z1,INF209KA13Z9,Aditya Birla Sun Life Banking & PSU Debt Fund Direct Plan IDCW-Re-investment,106.871,2026-08-28,Aditya Birla Sun Life Mutual Fund
119552,INF209K01YM2,-,Aditya Birla Sun Life Banking & PSU Debt Fund Direct Plan MONTHLY DCW Payout,117.1686,2026-08-28,Aditya Birla Sun Life Mutual Fund
119553,INF209K01YO8,-,Aditya Birla Sun Life Banking & PSU Debt Fund Direct Plan QUARTERLY IDCW Payout,104.9036,2026-08-28,Aditya Birla Sun Life Mutual Fund
108272,INF209K01LX6,INF209KA11Z3,Aditya Birla Sun Life Banking & PSU Debt Fund Regular Plan IDCW-Re-investment,149.5282,2026-08-28,Aditya Birla Sun Life Mutual Fund
110282,INF209K01LU2,-,Aditya Birla Sun Life Banking & PSU Debt Fund Regular Plan MONTHLY IDCW Payout,112.4099,2026-08-28,Aditya Birla Sun Life Mutual Fund
108274,INF209K01LN7,-,Aditya Birla Sun Life Banking & PSU Debt Fund Regular Plan QUARTERLY IDCW Payout,102.4488,2026-08-28,Aditya Birla Sun Life Mutual Fund
108273,INF209K01LV0,-,Aditya Birla Sun Life Banking & PSU Debt Fund Regular Plan GROWTH,387.3608,2026-08-28,Aditya Birla Sun Life Mutual Fund
119550,INF209K01YN0,-,Aditya Birla Sun Life Banking & PSU Debt Fund Direct Plan GROWTH,403.6075,2026-08-28,Aditya Birla Sun Life Mutual Fund
129008,INF090I01KR8,-,Franklin India Banking & PSU Debt Fund Direct Plan Growth,25.2221,2026-08-28,Franklin Templeton Mutual Fund
129006,INF090I01KO5,-,Franklin India Banking & PSU Debt Fund Regular Plan Growth,24.0595,2026-08-28,Franklin Templeton Mutual Fund
129009,INF090I01KS6,INF090I01KT4,Franklin India Banking & PSU Debt Fund Direct Plan IDCW,11.5927,2026-08-28,Franklin Templeton Mutual Fund
129007,INF090I01KP2,INF090I01KQ0,Franklin India Banking & PSU Debt Fund Regular Plan IDCW,10.9586,2026-08-28,Franklin Templeton Mutual Fund
128628,INF179KA1JC4,-,HDFC Banking and PSU Debt Fund Regular Plan Growth Option,24.3437,2026-08-28,HDFC Mutual Fund
128629,INF179KA1IZ7,-,HDFC Banking and PSU Debt Fund Direct Plan Growth Option,25.457,2026-08-28,HDFC Mutual Fund
128627,INF179KA1JD2,INF179KA1JE0,HDFC Banking and PSU Debt Fund Regular Plan IDCW Option,10.097,2026-08-28,HDFC Mutual Fund
128626,INF179KA1JA8,INF179KA1JB6,HDFC Banking and PSU Debt Fund Direct Plan IDCW Option,9.9893,2026-08-28,HDFC Mutual Fund
148534,INF00XX01861,-,ITI Banking & PSU Debt Fund Direct Plan Growth Option,14.2069,2026-08-28,ITI Mutual Fund
148536,INF00XX01879,INF00XX01887,ITI Banking & PSU Debt Fund Direct Plan IDCW Option,14.2053,2026-08-28,ITI Mutual Fund
